time_step,bus_0_vm_pu,bus_1_vm_pu,bus_2_vm_pu,bus_3_vm_pu,bus_4_vm_pu,bus_5_vm_pu,load_0_p_mw,load_1_p_mw,load_2_p_mw,load_3_p_mw,load_0_q_mvar,load_1_q_mvar,load_2_q_mvar,load_3_q_mvar
0,1,1,0.999999945,1.00034623,1.000048446,1.000048446,0.003,0.003,0.002,0.002,0.0025,0.0025,0.005,0.005
1,1,1,0.999999924,1.00032752,1.000031473,1.000031473,0.003077646,0.003077646,0.002051764,0.002051764,0.0025,0.0025,0.005,0.005
2,1,1,0.999999904,1.000310066,1.000015638,1.000015638,0.00315,0.00315,0.0021,0.0021,0.0025,0.0025,0.005,0.005
3,1,1,0.999999887,1.000295064,1.000002028,1.000002028,0.003212132,0.003212132,0.002141421,0.002141421,0.0025,0.0025,0.005,0.005
4,1,1,0.999999874,1.000283543,0.999991576,0.999991576,0.003259808,0.003259808,0.002173205,0.002173205,0.0025,0.0025,0.005,0.005
5,1,1,0.999999866,1.000276298,0.999985002,0.999985002,0.003289778,0.003289778,0.002193185,0.002193185,0.0025,0.0025,0.005,0.005
6,1,1,0.999999863,1.000273826,0.999982759,0.999982759,0.0033,0.0033,0.0022,0.0022,0.0025,0.0025,0.005,0.005
7,1,1,0.999999866,1.000276298,0.999985002,0.999985002,0.003289778,0.003289778,0.002193185,0.002193185,0.0025,0.0025,0.005,0.005
8,1,1,0.999999874,1.000283543,0.999991576,0.999991576,0.003259808,0.003259808,0.002173205,0.002173205,0.0025,0.0025,0.005,0.005
9,1,1,0.999999887,1.000295064,1.000002028,1.000002028,0.003212132,0.003212132,0.002141421,0.002141421,0.0025,0.0025,0.005,0.005
10,1,1,0.999999904,1.000310066,1.000015638,1.000015638,0.00315,0.00315,0.0021,0.0021,0.0025,0.0025,0.005,0.005
11,1,1,0.999999924,1.00032752,1.000031473,1.000031473,0.003077646,0.003077646,0.002051764,0.002051764,0.0025,0.0025,0.005,0.005
12,1,1,0.999999945,1.00034623,1.000048446,1.000048446,0.003,0.003,0.002,0.002,0.0025,0.0025,0.005,0.005
13,1,1,0.999999967,1.000364921,1.000065401,1.000065401,0.002922354,0.002922354,0.001948236,0.001948236,0.0025,0.0025,0.005,0.005
14,1,1,0.999999987,1.000382321,1.000081185,1.000081185,0.00285,0.00285,0.0019,0.0019,0.0025,0.0025,0.005,0.005
15,1,1,1.000000004,1.000397249,1.000094725,1.000094725,0.002787868,0.002787868,0.001858579,0.001858579,0.0025,0.0025,0.005,0.005
16,1,1,1.000000017,1.000408695,1.000105107,1.000105107,0.002740192,0.002740192,0.001826795,0.001826795,0.0025,0.0025,0.005,0.005
17,1,1,1.000000025,1.000415886,1.00011163,1.00011163,0.002710222,0.002710222,0.001806815,0.001806815,0.0025,0.0025,0.005,0.005
18,1,1,1.000000028,1.000418339,1.000113854,1.000113854,0.0027,0.0027,0.0018,0.0018,0.0025,0.0025,0.005,0.005
19,1,1,1.000000025,1.000415886,1.00011163,1.00011163,0.002710222,0.002710222,0.001806815,0.001806815,0.0025,0.0025,0.005,0.005
20,1,1,1.000000017,1.000408695,1.000105107,1.000105107,0.002740192,0.002740192,0.001826795,0.001826795,0.0025,0.0025,0.005,0.005
21,1,1,1.000000004,1.000397249,1.000094725,1.000094725,0.002787868,0.002787868,0.001858579,0.001858579,0.0025,0.0025,0.005,0.005
22,1,1,0.999999987,1.000382321,1.000081185,1.000081185,0.00285,0.00285,0.0019,0.0019,0.0025,0.0025,0.005,0.005
23,1,1,0.999999967,1.000364921,1.000065401,1.000065401,0.002922354,0.002922354,0.001948236,0.001948236,0.0025,0.0025,0.005,0.005
